parentUUID,rawTitle,cleanTitle,totalHoursWatched,imdbMatchedTitle,imdbMatchConfidence,imdbLink,imdbGenres,imdbType,imdbUserRating,imdbNumRatings,directorCount,writerCount,castCount,producerCount,composerCount,cinematographerCount,editorCount,castingDirectorCount,artDirectorCount,setDecoratorCount,costumeDesignerCount,makeUpDepartmentCount,productionManagerCount,assistantDirectorCount,artDepartmentCount,soundDepartmentCount,stuntsCount,cameraDepartmentCount,costumeDepartmentCount,editorialDepartmentCount,musicDepartmentCount,scriptDepartmentCount,miscellaneousCrewCount
3f9212bc-e9f0-4974-938f-6aeacdd39f0e,Aggretsuko: Season 5 // アグレッシブ烈子: シーズン5,Aggretsuko,12000000,Aggretsuko,100,https://www.imdb.com/title/tt8019444/,"Animation, Short, Comedy",TV Series,8,7.4K,1,2,53,7,5,,,1,,,,,,,,6,,,,,1,1,5
67a185e8-7d2e-4b89-8444-5c74e0778b52,Berserk // ベルセルク: 剣風伝奇ベルセルク,Berserk,6100000,Berserk,100,https://www.imdb.com/title/tt0318871/,"Animation, Action, Adventure",TV Series,8.7,51K,11,8,139,3,1,1,1,,1,,,,1,,,,,1,,,,2,7
dd0822e8-dd15-469f-84f2-83181a0c47a7,Viola come il mare: Season 1,Viola come il mare,5400000,Viola Come Il Mare,100,https://www.imdb.com/title/tt15472454/,"Action, Comedy, Crime",TV Series,6.6,1.6K,3,22,83,10,2,3,3,3,1,4,,17,6,11,11,13,13,46,11,10,23,11,51
f41fcdc6-edc0-4cc5-9bca-af39589ff0e6,Ocean's 8,Ocean's 8,5300000,Oceans 8,100,https://www.imdb.com/title/tt1494839/,Adventure,TV Series,5.7,42,1,1,,2,,3,3,,,,,,,,,,,,,2,,,
bfac5be1-5171-4ebf-8923-597189daa50c,Disjointed: Part 1,Disjointed,9000000,Disjointed,100,https://www.imdb.com/title/tt5884792/,Comedy,TV Series,6.7,11K,9,20,121,15,1,1,2,3,1,1,1,4,2,4,7,9,9,11,6,4,13,1,30
1677555c-5758-4dd8-a4e2-3ebd88779c38,Spycraft: Season 1,Spycraft,5300000,Spycraft,100,https://www.imdb.com/title/tt13789092/,Documentary,TV Series,6.7,2.5K,3,,43,11,,1,2,,,,,1,2,,,4,,,,,5,,
92d214d9-a11c-4f24-9d13-36b21bb442df,Rainbow Rangers: Season 2,Rainbow Rangers,10100000,Rainbow Rangers,100,https://www.imdb.com/title/tt7967882/,"Animation, Adventure, Family",TV Series,4.1,232,2,42,7,9,,,,,,,,,3,,11,8,,,,3,2,,2
c50d8e5f-bbf2-4ce7-828a-4f79df0bcfff,Post Mortem: No One Dies in Skarnes: Season 1 // Post Mortem: Ingen dør på Skarnes: Sesong 1,Post Mortem: No One Dies in Skarnes: Season 1,5300000,Post Mortem: No One Dies in Skarnes,100,https://www.imdb.com/title/tt13053222/,"Comedy, Drama, Thriller",TV Series,7.1,4.1K,2,4,26,6,,2,3,,,1,1,3,1,6,6,7,7,19,2,3,1,1,5
0ae38c19-f65c-42bc-9e10-89f41ba56bc0,Winx Club: Season 6,Winx Club,8500000,Winx Club,100,https://www.imdb.com/title/tt0421482/,"Animation, Action, Adventure",TV Series,6.1,7.5K,1,56,224,19,9,,6,7,,,1,,6,,68,22,,,,2,7,3,19
0e9b0042-7262-4aec-b76b-5b7ae917818d,Unbreakable Kimmy Schmidt: Season 1,Unbreakable Kimmy Schmidt,16800000,Unbreakable Kimmy Schmidt,100,https://www.imdb.com/title/tt3339966/,Comedy,TV Series,7.6,78K,20,28,725,28,2,1,10,3,1,1,2,36,5,24,74,37,47,121,42,20,11,6,134
